	.gitignore	14.txt	143.txt	es01.py	ex.01.py	ex.02.py	ex.py	ex01.py	ex01.py.py	ex01.txt	ex02..py	ex02.py	ex03 - 바로 가기.lnk	ex03.py	ex04.py	ex05.py	ex06	ex06.py	ex07	ex07.py	ex08	ex08.py	ex1.txt	exo1.py	exo4.py	exo5.py	mtfile.html	mtfile.jpg	my flie.html	myfile.html	myfile.jpg	rgex	rgex.py	urlbtest.py	urlib_test	urlib_test.py	urllib-test	urllib_1.py	urllib_test.py	urllibtest.py
14cpfarkgod123				[3]				[1]				[1]		[2]	[2]	[2]		[1]		[1]		[1]													[1]					
14cpfatngus5058								[3]		[3]		[1]		[4]	[5]	[4]						[2]																		
14cpfajeongh122								[3]		[2]		[1]		[4]	[2]	[2]																								
14cpfatonghyt								[3]		[4]		[1]		[4]	[2]	[3]		[1]		[2]		[1]													[1]					
14cpfassangshow								[3]		[2]		[1]		[2]	[2]	[2]				[1]		[1]																		
14cpfagkseodn				[3]			[1]			[4]	[1]			[2]	[1]																									
14cpfacorey1	[1]							[3]		[3]		[1]		[2]	[2]	[1]		[2]		[5]		[5]																	[3]	
14cpfakkm3801								[5]		[2]		[1]		[4]	[4]	[3]																								
cpfbwhkimi2	[1]	[1]	[1]					[3]		[4]		[1]		[6]	[2]	[1]		[2]		[2]		[2]										[2]	[1]							[2]
14cpfakenshero2								[4]		[5]		[1]		[3]											[2]	[2]														
14cpfaskswook								[3]		[5]		[1]		[5]	[3]	[1]		[3]		[1]		[2]																		
14cpfahama0816								[5]		[5]		[3]		[2]	[2]	[1]		[3]		[4]		[3]								[1]				[2]						
14cpfakimoh483								[3]		[4]		[1]		[3]	[2]	[2]		[1]		[3]		[2]																	[1]	
14cpfasii1										[4]		[2]		[2]	[1]	[2]								[3]																
puppyj1234								"[1, 1]"		[4]		"[1, 1]"		[3]	[1]	[3]				[2]		[1]																		
14cpfawogus9650								[3]		[3]		[1]		[2]	[2]	[1]		[1]		[1]		[1]																		
14cpfahusti519								[3]		[4]		[1]		[3]	[1]	[3]		[2]		[1]		[3]																		
hi8954								[4]		[3]		"[1, 1]"		[3]	[2]	[1]																								
14cpfahoijuly								[3]		[2]		[1]		[3]	[2]	[2]																								
14cpfadb7279									[4]	[1]		"[1, 1]"		[2]	[1]	[1]																								
14cpfaqkrtnqja								[3]		[3]		[2]		[2]	[4]	[6]		[2]		[2]		[1]								[1]	[1]								[2]	
14cpfaq3259619								[2]				[1]		[2]	[2]	[2]		[1]		[3]							[1]	[1]											[1]	
14cpfaskychlrud								[2]		[5]		"[1, 1]"		[3]	[1]	[1]		"[1, 1]"		[3]		[1]							[0]											
qjacks369								[3]		[3]		[1]		[2]	[4]	[5]																								
14cpfasun1867						[3]				[7]		[1]		[4]	[3]	[1]		[3]		[4]		[1]															[1]			
14cpfasai2312								[3]		[4]		[1]		[4]	[1]	[1]																								
14cpfwomjeejun									[3]			[1]		[3]	[2]	[2]							[4]																	
cpfaouch22								[2]		[3]		[1]						[1]		[4]		[2]																		
14cpf								[2]		[1]		[1]																												
14cpfacherish19								"[2, 3]"		[3]		[1]	[0]	[3]	[2]	[1]	[2]		[3]		[3]									[1]					[3]			[1]		
14cpfawogns					[4]					[3]		[1]		[2]	[2]	[1]				[2]		[3]														[2]				
14cpfapjh940404								[4]		[4]		[1]		[3]	[2]	[2]																								
