	.git	.gitignore	14.txt	143.txt	asd.py	es01.py	ex.01.py	ex.02.py	ex.py	ex01.py	ex01.py.py	ex01.txt	ex02..py	ex02.py	ex03.py	ex04.py	ex05.py	ex06	ex06.py	ex07	ex07.py	ex08.py	ex09.dy	ex09.py	ex09py	ex1.py	ex1.txt	ex10.py	ex11.py	ex12,py	ex12.py	exo1.py	exo4.py	exo5.py	exo8.py	file fined	mouse sakkidul.jpg	mtfile.html	mtfile.jpg	my flie.html	myfile.html	myfile.jpg	os_walk.py	rgex	rgex.py	urlb_test.py	urlbtest.py	urlib_test	urlib_test.py	urllb-test.py	urllb_test.py	urllib_1.py	urllib_test	urllib_test.py	urllibtest.py	wiki.html
14cpfarkgod123	[0]					[3]				[1]				[1]	[2]	[2]	[2]		[1]		[1]	[1]																										[1]								
14cpfatngus5058	[0]									[3]		[3]		[1]	[4]	[5]	[4]																																							
14cpfajeongh122	[0]									[3]		[2]		[1]	[4]	[2]	[2]					[1]		[1]				[1]	[1]		[1]																									
14cpfatonghyt	[0]									[3]		[4]		[1]	[4]	[2]	[3]		[1]		[1]	[1]		[1]				[2]	[2]		[1]																	[1]								
14cpfassangshow	[0]									[3]		[2]		[1]	[2]	[2]	[2]		[1]		[1]	[1]		[1]				[1]	[1]		[1]																				[1]					
14cpfagkseodn	[0]					[3]			[1]			[4]	[1]		[2]	[1]			[1]		[1]	[1]			[1]			[1]	[1]		[1]					[0]																				
14cpfacorey1	[0]	[1]								[3]		[3]		[1]	[2]	[2]	[1]		[2]		[5]	[5]		[2]				[3]	[1]		[1]																							[3]		
14cpfakkm3801	[0]									[5]		[2]		[1]	[4]	[4]	[3]		[1]		[3]	[2]		[2]				[5]	[2]		[1]																									
cpfbwhkimi2	[0]	[1]	[1]	[1]						[3]		[4]		[1]	[6]	[2]	[1]		[2]		[2]	[2]		[2]				[2]	[3]		[3]												[1]	[2]	[1]										[2]	
14cpfakenshero2	[0]				[1]					[4]		[5]		[1]	[3]			[1]	[1]	[1]	[1]	[1]		[1]				[2]	[2]		[1]		[2]	[2]			[0]				[1]													[1]		
14cpfaskswook	[0]									[3]		[5]		[1]	[6]	[4]	[2]		[3]		[1]	[2]		[1]				[2]	[2]	[1]																										
14cpfahama0816	[0]									[5]		[5]		[1]	[2]	[2]	[1]		[3]		[4]	[3]		[2]				[2]	[1]		[1]										[1]						[2]									
14cpfakimoh483	[0]									[3]		[4]		[1]	[3]	[2]	[2]		[3]		[5]	[4]		[2]				[4]	[2]		[1]																							[3]		
14cpfasii1	[0]											[4]		[2]	[2]	[1]	[2]		[1, 1, 1]		[1, 1]		[1, 1]									[3]			[1, 1]																		[1]	[1]		
puppyj1234	[0]									[1, 1]		[4]		[1, 1]	[3]	[1]	[3]		[1]		[2]	[1]		[1]				[1]	[1]		[1]																									
14cpfawogus9650	[0]									[3]		[3]		[1]	[2]	[2]	[1]		[1]		[1]	[1]		[1]				[2]	[2]		[1]																									
14cpfahusti519	[0]									[3]		[4]		[1]	[3]	[1]	[3]		[2]		[1]	[3]		[1]				[2]	[1]		[1]																									
hi8954	[0]									[4]		[3]		[1, 1]	[3]	[2]	[1]		[1]		[1]	[1]		[2]				[2]	[2]		[1]															[1]										
14cpfahoijuly	[0]									[3]		[2]		[1]	[3]	[2]	[2]		[1]		[1]	[1]		[1]				[1]	[1]		[1]																							[2]		
14cpfadb7279	[0]										[4]	[1]		[1, 1]	[2]	[1]	[1]																																							
14cpfaqkrtnqja	[0]									[3]		[3]		[2]	[2]	[4]	[6]		[2]		[2]	[1]		[1]				[2]	[1]		[1]										[1]	[1]												[2]		
14cpfaq3259619	[0]									[2]				[1]	[2]	[2]	[2]		[1]		[1]	[1]		[1]				[1]	[1]									[1]	[1]															[1]		
14cpfaskychlrud	[0]									[2]		[5]		[1, 1]	[3]	[1]	[1]		[1, 1]		[3]	[1]		[1]				[1]	[1]											[0]																
qjacks369	[0]									[3]		[3]		[1]	[2]	[4]	[5]		[1]		[3]	[2]		[2]				[2]	[1]		[1]																									
14cpfasun1867	[0]							[3]				[7]		[1]	[4]	[3]	[1]		[1]		[1]	[1]		[2]		[2]			[1]		[1]																									
14cpfasai2312	[0]									[3]		[4]		[1]	[4]	[1]	[1]		[1]		[2]	[1]		[3]				[1]	[1]		[2]										[1]													[1]		[1]
14cpfwomjeejun	[0]										[3]			[1]	[3]	[2]	[2]		[1]		[1]	[1]		[1]			[4]	[1]	[1]		[1]																			[1]						
cpfaouch22	[0]									[2]		[3]		[1]					[1]		[4]	[2]		[1]				[2]	[1]		[1]																									
14cpfadongmin	[0]														[1]	[1]	[2]		[1]		[1, 1]	[1]		[2]				[2]	[1]																			[1]								
14cpf	[0]													[1]	[1]	[1]	[1]		[1]		[1]	[1]		[1]				[2]	[1]																					[1]						
14cpfacherish19	[0]									[2, 3]		[3]		[1]	[3]	[2]	[1]		[1]		[1]	[1]		[2]				[1]	[3]		[2]										[1]							[3]				[1]				
14acpfduaxogh32	[0]																																																							
14cpfawogns	[0]						[4]					[3]		[1]	[2]	[2]	[1]		[1]		[2]	[3]		[1]				[1]	[1]																				[2]							
14cpfapjh940404	[0]									[4]		[4]		[1]	[3]	[2]	[2]																																							
